项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
吕梁市建成区老旧燃气管网设施(庭院、立管及用户)更新改造二期项目（EPC）总承包其它,吕梁市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/11,2026年 5月 11日 17时 00分至 2026年 6月 11日 10时 00,001 标段中投标人资格能力要求：   3.1本次招标要求投标人须具备建设行政主管部门颁发的工程设计综合甲   级资质或市政行业（燃气工程）设计乙级及以上资质，且同时具备市政公用工   程施工总承包二级及以上资质和特种设备生产许可证（承压类管道 GB1），应   当具有相应的项目管理体系和项目管理能力、财务和风险承担能力，以及与发   包工程同类型的设计、施工或者工程总承包业绩。其中，投标人拟派项目经理   须具备市政公用工程专业二级及以上注册建造师执业资格，担任过与拟建项目   相类似的工程总承包项目经理或施工项目负责人；施工负责人须具备市政公用   工程专业二级及以上注册建造师执业资格，具备有效的安全生产考核合格证书；   设计负责人须具备相关专业高级工程师职称资格，且项目经理和施工负责人未   担任其他在施建设工程项目的项目经理或施工负责人。项目经理可以兼任施工   负责人；   3.2单位负责人为同一人或者存在控股、管理关系的不同单位，不得同时   对本项目提出投标申请，否则投标无效；   3.3 投标人、法定代表人和拟派项目经理近三年内无行贿犯罪记录；   3.4 投标人未被列入失信被执行人名单、在“国家企业信用信息公示系统”   中未被列入“严重违法失信名单”   3.5本次招标接受联合体投标；   3.6联合体投标的，应满足下列要求：   （1）联合体各方必须签订联合体协议书，明确联合体牵头单位和各方的权   利义务，联合体成员不超过两家；联合体成员由一家设计单位、一家施工单位   组成，联合体各方均应符合“具有独立法人资格”、“具有独立承当民事责任   的能力”的条件，其中施工单位须具备有效的安全生产许可证；(2) 联合体牵   头人代表联合体各方成员负责投标阶段的主办、协调工作，但联合体其他成员   在投标、签约与履行合同过程中，仍负有连带的和各自的法律责任； (3) 联合   体投标应符合相关法律法规对联合体投标的有关规定，联合体各方不得再以自   己名义单独或参加其他联合体在本招标项目中投标；（4）联合体中标的，联合   体各方应当共同与招标人签订合同，就中标项目向招标人承担连带责任。   2 四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1052727.jhtml,暂无,山西二建集团有限公司(牵头人)/太原市政工程勘测设计院有限公司（联合体成员）、山西国宇龙城建设有限公司(牵头人)/中水华创国际工程设计顾问有限公司（联合体成员）,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064204.jhtml,山西二建集团有限公司(牵头人)/太原市政工程勘测设计院有限公司（联合体,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064891.jhtml,暂无,吕梁市建成区老旧燃气管网设施(庭院、立管及用户)更新改造二期项目（EPC）总承包其它招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1052727.jhtml；吕梁市建成区老旧燃气管网设施(庭院、立管及用户)更新改造二期项目（EPC）总承包其它招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1052726.jhtml；吕梁市建成区老旧燃气管网设施(庭院、立管及用户)更新改造二期项目（EPC）总承包其它中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064204.jhtml
长治市高铁东站一层出站口提升工程EPC总承包项目,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/07,2026年 5 月 7 日至2026年 6 月 8 日,3.1 在中华人民共和国境内注册的独立法人，具有有效的营业执照；   3.2 资质要求：投标人须具备建设行政主管部门颁发的工程设计综合资质甲级或工程   设计建筑（建筑工程）专业乙级及其以上资质、具备建筑工程施工总承包贰级及其以上资   质、有效的安全生产许可证，并在人员、设备、资金等方面具有完成总承包的能力；   3.3 财务要求：投标人须提供具有审计资格的第三方出具的2024年度或2025年度财务   审计报告（新成立公司不足一年的，可提供资产负债表、现金流量表、利润表）；（如是   联合体各方均提供）   3.4 信誉要求：投标人须提供自招标公告发布之日起至,https://prec.sxzwfw.gov.cn/jyxxgczb/1051633.jhtml,暂无,联合体牵头人：长治市太行城市建设有限公司联合体成员：山西第二建筑设计研究院有限公司、联合体牵头人：中简建设集团有限公司联合体成员：爱建信达工程咨询有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063551.jhtml,长治市太行城市建设有限公司（联合体牵头人）山西第二建筑设计研究院有限公司（联合体,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064862.jhtml,暂无,长治市高铁东站一层出站口提升工程EPC总承包项目招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1052857.jhtml；长治市高铁东站一层出站口提升工程EPC总承包项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1051633.jhtml；长治市高铁东站一层出站口提升工程EPC总承包项目中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063551.jhtml
潞州区长安高速连接线生态环境整治EPC总承包项目,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/08,2026年 5月 8日至 2026年 6月 9日,3.1本次招标要求投标人须具备工程设计综合资质甲级或市政行业乙级及以上资质或   风景园林工程设计专项乙级及以上资质，具备建设行政主管部门颁发的市政公用工程施工   总承包二级及以上资质，有效的营业执照，并在人员、设备等方面具有相应的总承包能力；   3.2工程总承包项目负责人、施工项目经理及设计负责人资格要求：   3.2.1拟派工程总承包项目负责人（为本单位在职的）须具备一级注册建筑师执业资   格或相关专业高级技术职称（市政或园林）或市政公用工程专业二级及以上注册建造师执   业资格；   3.2.2施工项目经理资格要求：拟派项目经理须具备市政公用工程专业二级及以上注   册建造师执业资格及安全生产考核合格证书（B类）证书资格，且未担任其他在施建设工程   项目的项目经理；   3.2.3 投标人拟派工程总承包项目负责人可以是施工项目经理或设计负责人。   3.2.4设计负责人资格要求：须具备一级注册建筑师执业资格或（市政或园林）相关   专业中级及以上技术职称；   3.3财务要求：需提供具备审计资格的第三方出具的 2024年度或 2025年度合格的财   务审计报告（投标人成立的时间少于规定年份的，应提供成立以来的财务状况表）；   3.4提供投标截止日期前近半年内企业最近一次缴纳税收的完税凭证；提供投标截止   日期前最后一次社保缴纳凭证及个人参保缴费证明（需包含设计负责人、总承包项目负责   人、施工项目经理及项目班子成员）以社保部门出具的正规社保凭证和参保缴费证明为准，   退休人员提供退休证明；   3.5 投标人需提供自招标公告发布之日起至,https://prec.sxzwfw.gov.cn/jyxxgczb/1052023.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1053234.jhtml,牵头人：太原市康培园林绿化工程有限公司联合体成员：太原市园林建筑设计研究院有限公司、牵头人：山西中资建设集团有限公司联合体成员：古风今韵（山西）技术集团股份有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063536.jhtml,太原市康培园林绿化工程有限公司（联合体牵头人）太原市园林建筑设计研究院有限公司（联合体,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064861.jhtml,暂无,潞州区长安高速连接线生态环境整治EPC总承包项目招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1053244.jhtml；潞州区长安高速连接线生态环境整治EPC总承包项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1052023.jhtml；潞州区长安高速连接线生态环境整治EPC总承包项目澄清答疑|https://prec.sxzwfw.gov.cn/jyxxgcgz/1053234.jhtml；潞州区长安高速连接线生态环境整治EPC总承包项目中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063536.jhtml
潞州区闲置地块综合整治暨便民服务设施建设工程EPC总承包项目,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/08,2026年 5月 8日至 2026年 6月 10日,3.1本次招标要求投标人须具备工程设计综合资质甲级或市政行业乙级及以上资质或   风景园林工程设计专项乙级及以上资质，具备建设行政主管部门颁发的市政公用工程施工   总承包三级及以上资质，有效的营业执照，并在人员、设备等方面具有相应的总承包能力；   3.2工程总承包项目负责人、施工项目经理及设计负责人资格要求：   3.2.1拟派工程总承包项目负责人（为本单位在职的）须具备一级注册建筑师执业资   格或相关专业高级技术职称（市政或园林）或市政公用工程专业二级及以上注册建造师执   业资格；   3.2.2施工项目经理资格要求：拟派项目经理须具备市政公用工程专业二级及以上注   册建造师执业资格及安全生产考核合格证书（B类）证书资格，且未担任其他在施建设工程   项目的项目经理；   3.2.3 投标人拟派工程总承包项目负责人可以是施工项目经理或设计负责人。   3.2.4设计负责人资格要求：须具备一级注册建筑师执业资格或（市政或园林）相关   专业中级及以上技术职称；   3.3财务要求：需提供具备审计资格的第三方出具的 2024年度或 2025年度合格的财   务审计报告（投标人成立的时间少于规定年份的，应提供成立以来的财务状况表）；   3.4提供投标截止日期前近半年内企业最近一次缴纳税收的完税凭证；提供投标截止   日期前最后一次社保缴纳凭证及个人参保缴费证明（需包含设计负责人、总承包项目负责   人、施工项目经理及项目班子成员）以社保部门出具的正规社保凭证和参保缴费证明为准，   退休人员提供退休证明；   3.5 投标人需提供自招标公告发布之日起至,https://prec.sxzwfw.gov.cn/jyxxgczb/1052016.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1060872.jhtml；https://prec.sxzwfw.gov.cn/jyxxgcgz/1053238.jhtml,牵头人：太原市康培园林绿化工程有限公司联合体成员：太原市园林建筑设计研究院有限公司、牵头人：山西云境建设工程有限公司联合体成员：古风今韵（山西）技术集团股份有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064018.jhtml,太原市康培园林绿化工程有限公司（联合体牵头人）太原市园林建筑设计研究院有限公司（联合体,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064860.jhtml,暂无,潞州区闲置地块综合整治暨便民服务设施建设工程EPC总承包项目招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1053237.jhtml；潞州区闲置地块综合整治暨便民服务设施建设工程EPC总承包项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1052016.jhtml；潞州区闲置地块综合整治暨便民服务设施建设工程EPC总承包项目二次澄清答疑|https://prec.sxzwfw.gov.cn/jyxxgcgz/1060872.jhtml；潞州区闲置地块综合整治暨便民服务设施建设工程EPC总承包项目澄清答疑|https://prec.sxzwfw.gov.cn/jyxxgcgz/1053238.jhtml；潞州区闲置地块综合整治暨便民服务设施建设工程EPC总承包项目中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064018.jhtml
忻州城区康居家园配售型保障性住房项目设计项目(1标段),忻州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,大成建研（北京）科技有限公司、北京华茂中天建筑规划设计有限公司、中泰景禾工程集团有限责任公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063809.jhtml,大成建研（北京）科技有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064850.jhtml,暂无,忻州城区康居家园配售型保障性住房项目设计项目(1标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063809.jhtml
山西晋城兴唐煤业有限责任公司车寨矿井及选煤厂项目地面瓦斯抽放管路安装工程,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/19,2026-05-19 18:00至2026-05-25 18:00,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056275.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063907.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064847.jhtml,暂无,山西晋城兴唐煤业有限责任公司车寨矿井及选煤厂项目地面瓦斯抽放管路安装工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056275.jhtml；山西晋城兴唐煤业有限责任公司车寨矿井及选煤厂项目地面瓦斯抽放管路安装工程中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063907.jhtml
山西省阳泉第一监狱改扩建基础设施配套项目设计三次,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/19,2026年5月19日17时00分-2026年5月24日17时00分（北京时间）,001 不分标段   3.1、本次招标要求投标人具备有效的营业执照，具备建设主管部门颁发的工程设计综   合甲级资质或工程设计行业资质市政行业乙级及以上资质，同时具备特种设备生产许可证   (许可范围包括压力管道设计 GB1、GB2)，并在人员方面具有相应的设计能力。省外企业须   具备山西政务服务平台信息报送要求，方可在本市行政区域内开展执业活动。   3.2、本次招标要求投标人拟派项目负责人应当具备工程设计类注册执业资格。   3.3、本招标项目不接受联合体投标。   3.4、本次招标采用失信被执行人否决性惩戒方式。   3.5、本次招标采用资格后审方式，开标后由评标委员会对投标人的资质进行审查，资   格条件没有达到招标文件规定要求，评标委员会将否决其投标。   4、,https://prec.sxzwfw.gov.cn/jyxxgczb/1056228.jhtml,暂无,容海川城乡规划设计有限公司、中裕工程集团有限公司、智诚建科设计有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063700.jhtml,容海川城乡规划设计有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064846.jhtml,暂无,山西省阳泉第一监狱改扩建基础设施配套项目设计三次|https://prec.sxzwfw.gov.cn/jyxxgczb/1056228.jhtml；山西省阳泉第一监狱改扩建基础设施配套项目设计三次中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063700.jhtml
潇河产业园区辽西街（北格西路-真武路）建设工程施工(潇河产业园区辽西街（北格西路-真武路）建设工程施工第二标段),综改示范区,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/01/19,2026 年1月 20日8 时 00 分至 2026 年1 月27 日8 时 00 分（北京时间，法定公休日、法定节假日不工作）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1030732.jhtml,暂无,中建交通建设集团有限公司、江西中煤建设集团有限公司、山西国宇龙城建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063295.jhtml,中建交通建设集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064841.jhtml,暂无,潇河产业园区辽西街（北格西路-真武路）建设工程施工(潇河产业园区辽西街（北格西路-真武路）建设工程施工第二标段)资格预审公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1030732.jhtml；潇河产业园区辽西街（北格西路-真武路）建设工程施工(潇河产业园区辽西街（北格西路-真武路）建设工程施工第二标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063295.jhtml
盐湖区高新全民健身中心建设项目二次招标,运城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/21,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1057106.jhtml,暂无,山西运城建工集团有限公司、山西四建集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064096.jhtml,山西运城建工集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064835.jhtml,暂无,盐湖区高新全民健身中心建设项目二次招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1057438.jhtml；盐湖区高新全民健身中心建设项目二次招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1057106.jhtml；盐湖区高新全民健身中心建设项目二次招标中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064096.jhtml
大同市云州区(上泉-新科源黄花种植基地等三条线)资源路产业路改造工程施工(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026-05-15 18:00   --     2026-05-22 18:00,001大同市云州区(上泉-新科源黄花种植基地等三条线)资源路产业路改造工程施工: 3.1投标人资格能力要求：本次招标要求投标人应在中华人民共和国境内注册，持有有效的企业法人营业执照、须具备住房和城乡建设行政主管部门颁发的有效的公路工程施工总承包叁级及以上资质，并取得住房和城乡建设行政主管部门颁发的有效的建筑施工企业安全生产许可证，并在专业技术、人员组成及设备、资金、经验等方面具有相应的施工能力；无拖欠农民工工资劣迹。投标人拟派项目经理须具备公路工程相关专业中级及以上职称，具有公路工程专业二级及以上注册建造师证书，并同时持有住房和城乡建设行政主管部门或交通运输行政主管部门颁发的安全生产考核合格证书（B证），且未在其他在建项目任职。投标人拟派项目总工须具备公路工程相关专业中级及以上职称，具有住房和城乡建设主管部门或交通运输主管部门颁发的安全生产考核合格证书（B证），且未在其他在建项目任职。投标人拟配备的专职安全生产管理员须具备公路工程相关专业初级及以上职称，具有住房和城乡建设或交通运输主管部门颁发的安全生产考核合格证书（C证），且未在其他在建项目任职。3.2与招标人存在利害关系可能影响招标公正性的单位，不得参加投标。3.3投标人具有下列情况之一的，不得参与同一标段的投标，否则相关投标均无效：①单位负责人为同一人或者存在控股、管理关系的不同单位；②对招投标造成影响的具有投资参股关系的关联企业；③董事、监事、总经理、副总经理和财务负责人相互兼职的关联企业；④法律法规规章规定的具有关联关系的其他情形。3.4投标人受到有关行政,https://prec.sxzwfw.gov.cn/jyxxgczb/1055457.jhtml,暂无,山西诚玖路桥工程有限公司、陕西福林源路桥建设有限公司、陕西宇通正大建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063628.jhtml,山西诚玖路桥工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064834.jhtml,暂无,大同市云州区(上泉-新科源黄花种植基地等三条线)资源路产业路改造工程施工(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055457.jhtml；大同市云州区(上泉-新科源黄花种植基地等三条线)资源路产业路改造工程施工(1标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063628.jhtml
山西蓝焰煤层气集团有限责任公司和顺横岭、武乡南勘查区块全方位宽频带三维地震服务(002标段),山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,中煤科工西安研究院（集团）有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064832.jhtml,暂无,暂无
山西蓝焰煤层气集团有限责任公司和顺横岭、武乡南勘查区块全方位宽频带三维地震服务(001标段),山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西省煤炭地质物探测绘院有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064831.jhtml,暂无,暂无
太原煤炭气化（集团）临汾燃气有限公司临汾市2026年市政老旧管网燃气改造工程设计,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/20,2026-05-20    10:00至2026-05-26    17:30（北京时间）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056422.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063823.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064830.jhtml,暂无,太原煤炭气化（集团）临汾燃气有限公司临汾市2026年市政老旧管网燃气改造工程设计招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056422.jhtml；太原煤炭气化（集团）临汾燃气有限公司临汾市2026年市政老旧管网燃气改造工程设计中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063823.jhtml
阳泉高新技术产业开发区泉东产业园标准厂房及基础设施配套建设项目（厂房）电气工程（110KV）工程施工二次招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/19,2026年5月19日18:00至2026年5月24日18:00（北京时间）法定节假日、公休日正常获取文件)4.2 获取方法：通过“金蝉电子招标投标综合交易平台”,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056326.jhtml,暂无,山西鸿瑞建设股份有限公司、山西西电电力工程有限公司、山西新能普瑞电力工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064027.jhtml,山西鸿瑞建设股份有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064829.jhtml,暂无,阳泉高新技术产业开发区泉东产业园标准厂房及基础设施配套建设项目（厂房）电气工程（110KV）工程施工二次招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056326.jhtml；阳泉高新技术产业开发区泉东产业园标准厂房及基础设施配套建设项目（厂房）电气工程（110KV）工程施工二次招标中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064027.jhtml
